Name,ID,Ort,Bundesstaat,Region,Land,Jahr,Kilometerstand,Kraftstoff,Schaltung,Besitzer,KilometerPerLiter,Hubraum ,PS,Sitze,PreisEuro,Daten für Jason 
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,127215,Bangalore,Karnataka,Südindien,Indien,2014,78500,Diesel,Automatic,First,20776,2143,16762,5,3262339,"{""data"": { ""id"":""127215,Mercedes-Benz New C-Class C 220 CDI BE Avantgare"" }},"
BMW 3 Series 320d,127216,Kochi,Kerala,Südindien,Indien,2014,32982,Diesel,Automatic,First,31766,1995,190,5,2161299,"{""data"": { ""id"":""127216,BMW 3 Series 320d"" }},"
Maruti S Cross DDiS 200 Alpha,127217,Bangalore,Karnataka,Südindien,Indien,2015,55392,Diesel,Manual,Second,3311,1248,885,5,961225,"{""data"": { ""id"":""127217,Maruti S Cross DDiS 200 Alpha"" }},"
Audi A6 2011-2015 35 TFSI Technology,127218,Mumbai,Maharashtra,Westindien,Indien,2015,55985,Benzin,Automatic,First,18942,1984,17701,5,2738034,v
Hyundai i20 1.2 Magna,127219,Kolkata,Westbengalen,Ostindien,Indien,2010,45807,Benzin,Manual,First,259,1197,80,5,217878,"{""data"": { ""id"":""127219,Hyundai i20 1.2 Magna"" }},"
Volkswagen Vento Benzin Highline AT,127220,Kolkata,Westbengalen,Ostindien,Indien,2010,33000,Benzin,Automatic,First,2016,1598,1036,5,332059,"{""data"": { ""id"":""127220,Volkswagen Vento Benzin Highline AT"" }},"
Honda City Corporate Edition,127221,Mumbai,Maharashtra,Westindien,Indien,2012,51920,Benzin,Manual,First,2352,1497,1163,5,495176,"{""data"": { ""id"":""127221,Honda City Corporate Edition"" }},"
Nissan Micra Diesel XV,127222,Hyderabad,Telangana,Südindien,Indien,2012,54000,Diesel,Manual,First,32312,1461,631,5,495176,"{""data"": { ""id"":""127222,Nissan Micra Diesel XV"" }},"
Maruti Alto K10 2010-2014 VXI,127223,Hyderabad,Telangana,Südindien,Indien,2013,54000,Benzin,Manual,Second,29288,998,671,5,320408,"{""data"": { ""id"":""127223,Maruti Alto K10 2010-2014 VXI"" }},"
Honda WRV i-VTEC VX,127224,Kochi,Kerala,Südindien,Indien,2018,37430,Benzin,Manual,First,245,1199,887,5,1153470,"{""data"": { ""id"":""127224,Honda WRV i-VTEC VX"" }},"
Toyota Innova 2.5 V Diesel 7-seater,127225,Mumbai,Maharashtra,Westindien,Indien,2007,262000,Diesel,Manual,Fourth & Above,1792,2494,102,7,466048,"{""data"": { ""id"":""127225,Toyota Innova 2.5 V Diesel 7-seater"" }},"
Renault Duster 110PS Diesel RxZ Pack,127226,Bangalore,Karnataka,Südindien,Indien,2013,62000,Diesel,Manual,First,26614,1461,10845,5,902969,"{""data"": { ""id"":""127226,Renault Duster 110PS Diesel RxZ Pack"" }},"
Toyota Corolla Altis G,127227,Delhi,DelhiStaat,Nordindien,Indien,2012,87615,Benzin,Manual,First,20342,1798,1381,5,786457,"{""data"": { ""id"":""127227,Toyota Corolla Altis G"" }},"
Mahindra Ssangyong Rexton RX7,127228,Bangalore,Karnataka,Südindien,Indien,2013,72000,Diesel,Automatic,Second,15652,2696,184,7,1456401,"{""data"": { ""id"":""127228,Mahindra Ssangyong Rexton RX7"" }},"
Audi A6 2.7 TDI,127229,Kolkata,Westbengalen,Ostindien,Indien,2010,35000,Diesel,Automatic,First,1736,2698,1795,5,1339889,"{""data"": { ""id"":""127229,Audi A6 2.7 TDI"" }},"
Volkswagen Vento 1.6 Highline,127230,Coimbatore,Tamil Nadu,Ostindien,Indien,2014,55431,Benzin,Manual,Second,22526,1598,1035,5,813254,"{""data"": { ""id"":""127230,Volkswagen Vento 1.6 Highline"" }},"
Maruti Wagon R LXI BSIII,127231,Jaipur,Rajastahn,Nordindien,Indien,2009,83816,Benzin,Manual,Second,196,1061,64,5,215547,"{""data"": { ""id"":""127231,Maruti Wagon R LXI BSIII"" }},"
Maruti Vitara Brezza ZDi Plus,127232,Kochi,Kerala,Südindien,Indien,2018,50075,Diesel,Manual,First,3402,1248,885,5,1005499,"{""data"": { ""id"":""127232,Maruti Vitara Brezza ZDi Plus"" }},"
Mahindra KUV 100 mFALCON G80 K6 5str AW,127233,Delhi,DelhiStaat,Nordindien,Indien,2017,52000,Benzin,Manual,First,2541,1198,82,5,565084,"{""data"": { ""id"":""127233,Mahindra KUV 100 mFALCON G80 K6 5str AW"" }},"
Mercedes-Benz M-Class ML 350 CDI,127234,Pune,Maharashtra,Westindien,Indien,2013,85000,Diesel,Automatic,First,16436,2987,2548,5,3262339,"{""data"": { ""id"":""127234,Mercedes-Benz M-Class ML 350 CDI"" }},"
Volkswagen Polo Diesel Trendline 1.2L,127235,Chennai,Tamil Nadu,Ostindien,Indien,2013,62000,Diesel,Manual,First,30898,1199,739,5,582560,"{""data"": { ""id"":""127235,Volkswagen Polo Diesel Trendline 1.2L"" }},"
Maruti Alto LXi,127236,Delhi,DelhiStaat,Nordindien,Indien,2008,90000,Benzin,Manual,Second,2758,796,463,5,145640,"{""data"": { ""id"":""127236,Maruti Alto LXi"" }},"
Tata Nano LX SE,127237,Kochi,Kerala,Südindien,Indien,2014,19698,Benzin,Manual,First,3556,624,375,4,178264,"{""data"": { ""id"":""127237,Tata Nano LX SE"" }},"
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,127238,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,22033,Diesel,Manual,First,35448,1198,77,6,650137,"{""data"": { ""id"":""127238,Mahindra KUV 100 mFALCON D75 K8 Dual Tone"" }},"
Hyundai i20 Magna Optional 1.2,127239,Kochi,Kerala,Südindien,Indien,2014,35487,Benzin,Manual,First,259,1197,829,5,552267,"{""data"": { ""id"":""127239,Hyundai i20 Magna Optional 1.2"" }},"
Hyundai Elantra 2.0 SX Option AT,127240,Bangalore,Karnataka,Südindien,Indien,2014,46374,Benzin,Automatic,First,20468,1999,14992,5,1031132,"{""data"": { ""id"":""127240,Hyundai Elantra 2.0 SX Option AT"" }},"
Toyota Corolla Altis G AT,127241,Mumbai,Maharashtra,Westindien,Indien,2016,52001,Benzin,Automatic,First,19992,1798,13803,5,1177937,"{""data"": { ""id"":""127241,Toyota Corolla Altis G AT"" }},"
Hyundai Elantra CRDi,127242,Ahmedabad,Gujarat,Westindien,Indien,2008,58005,Diesel,Manual,Second,2086,1991,1122,5,495176,"{""data"": { ""id"":""127242,Hyundai Elantra CRDi"" }},"
Toyota Innova Crysta 2.7 GX MT,127243,Bangalore,Karnataka,Südindien,Indien,2012,70704,Benzin,Manual,First,1575,2694,1637,7,1275807,"{""data"": { ""id"":""127243,Toyota Innova Crysta 2.7 GX MT"" }},"
Hyundai Xcent 1.1 CRDi S,127244,Jaipur,Rajastahn,Nordindien,Indien,2014,75000,Diesel,Manual,First,3416,112,71,5,448572,"{""data"": { ""id"":""127244,Hyundai Xcent 1.1 CRDi S"" }},"
Mahindra Thar CRDe AC,127245,Jaipur,Rajastahn,Nordindien,Indien,2012,75800,Diesel,Manual,Second,2317,2498,105,6,640817,"{""data"": { ""id"":""127245,Mahindra Thar CRDe AC"" }},"
Audi A4 2.0 TDI 177  Premium Plus,127246,Kochi,Kerala,Südindien,Indien,2015,13648,Diesel,Automatic,First,23954,1968,17433,5,2496854,"{""data"": { ""id"":""127246,Audi A4 2.0 TDI 177  Premium Plus"" }},"
Maruti Swift LDI,127247,Delhi,DelhiStaat,Nordindien,Indien,2014,52000,Diesel,Manual,First,3206,1248,74,5,495176,"{""data"": { ""id"":""127247,Maruti Swift LDI"" }},"
Maruti Swift Ldi BSIV,127248,Kolkata,Westbengalen,Ostindien,Indien,2014,53000,Diesel,Manual,First,2492,1248,75,5,384490,"{""data"": { ""id"":""127248,Maruti Swift Ldi BSIV"" }},"
Maruti Swift VDI,127249,Delhi,DelhiStaat,Nordindien,Indien,2013,65650,Diesel,Manual,First,3976,1248,74,5,448572,"{""data"": { ""id"":""127249,Maruti Swift VDI"" }},"
Hyundai Grand i10 Sportz,127250,Chennai,Tamil Nadu,Ostindien,Indien,2015,54000,Benzin,Manual,Third,2646,1197,82,5,419444,"{""data"": { ""id"":""127250,Hyundai Grand i10 Sportz"" }},"
Volkswagen Vento 2013-2015 1.6 Comfortline,127251,Kolkata,Westbengalen,Ostindien,Indien,2015,39000,Benzin,Manual,First,21056,1598,1032,5,464883,"{""data"": { ""id"":""127251,Volkswagen Vento 2013-2015 1.6 Comfortline"" }},"
Renault KWID RXT,127252,Kochi,Kerala,Südindien,Indien,2017,16542,Benzin,Manual,First,35238,799,533,5,384490,"{""data"": { ""id"":""127252,Renault KWID RXT"" }},"
Hyundai i10 Asta,127253,Kolkata,Westbengalen,Ostindien,Indien,2010,32000,Benzin,Manual,First,28504,1197,789,5,241180,"{""data"": { ""id"":""127253,Hyundai i10 Asta"" }},"
Nissan X-Trail SLX AT,127254,Hyderabad,Telangana,Südindien,Indien,2010,121812,Diesel,Automatic,First,18606,1995,1476,5,902969,"{""data"": { ""id"":""127254,Nissan X-Trail SLX AT"" }},"
Maruti Zen Estilo VXI BSIII,127255,Hyderabad,Telangana,Südindien,Indien,2010,39300,Benzin,Manual,First,2548,998,671,5,262152,"{""data"": { ""id"":""127255,Maruti Zen Estilo VXI BSIII"" }},"
Toyota Innova Crysta 2.4 GX MT 8S,127256,Mumbai,Maharashtra,Westindien,Indien,2017,22000,Diesel,Manual,First,19152,2393,1478,8,1922450,"{""data"": { ""id"":""127256,Toyota Innova Crysta 2.4 GX MT 8S"" }},"
Ford Figo Diesel Titanium,127257,Bangalore,Karnataka,Südindien,Indien,2010,72000,Diesel,Manual,First,28,1399,68,5,320408,"{""data"": { ""id"":""127257,Ford Figo Diesel Titanium"" }},"
Mercedes-Benz New C-Class C 200 CGI Avantgarde,127258,Delhi,DelhiStaat,Nordindien,Indien,2015,58000,Benzin,Automatic,First,16436,1796,186,5,3110873,"{""data"": { ""id"":""127258,Mercedes-Benz New C-Class C 200 CGI Avantgarde"" }},"
Mercedes-Benz New C-Class 200 CDI Classic,127259,Pune,Maharashtra,Westindien,Indien,2011,65000,Diesel,Manual,Second,2212,2148,170,5,1165121,"{""data"": { ""id"":""127259,Mercedes-Benz New C-Class 200 CDI Classic"" }},"
Tata Indica V2 eLS,127260,Chennai,Tamil Nadu,Ostindien,Indien,2016,178000,Diesel,Manual,First,35,1396,69,5,291280,"{""data"": { ""id"":""127260,Tata Indica V2 eLS"" }},"
Audi A4 2.0 TDI Multitronic,127261,Jaipur,Rajastahn,Nordindien,Indien,2012,65664,Diesel,Automatic,First,2317,1968,140,5,1572913,"{""data"": { ""id"":""127261,Audi A4 2.0 TDI Multitronic"" }},"
Honda City ZX CVT,127262,Mumbai,Maharashtra,Westindien,Indien,2007,63000,Benzin,Automatic,Second,2296,1497,78,5,215547,"{""data"": { ""id"":""127262,Honda City ZX CVT"" }},"
Maruti Ertiga SHVS VDI,127263,Pune,Maharashtra,Westindien,Indien,2016,63000,Diesel,Manual,First,34328,1248,885,7,949574,"{""data"": { ""id"":""127263,Maruti Ertiga SHVS VDI"" }},"
Hyundai Creta 1.4 E Plus Diesel,127264,Mumbai,Maharashtra,Westindien,Indien,2018,13000,Diesel,Manual,First,3094,1396,887,5,1223377,"{""data"": { ""id"":""127264,Hyundai Creta 1.4 E Plus Diesel"" }},"
Porsche Cayenne 2009-2014 Turbo,127265,Mumbai,Maharashtra,Westindien,Indien,2008,73000,Benzin,Automatic,First,119,4806,500,5,1689425,"{""data"": { ""id"":""127265,Porsche Cayenne 2009-2014 Turbo"" }},"
Mahindra XUV500 W8 4WD,127266,Mumbai,Maharashtra,Westindien,Indien,2015,55729,Diesel,Manual,First,2114,2179,140,7,1124342,"{""data"": { ""id"":""127266,Mahindra XUV500 W8 4WD"" }},"
Hyundai i10 Sportz 1.2 AT,127267,Kochi,Kerala,Südindien,Indien,2012,45178,Benzin,Automatic,First,2373,1197,789,5,405462,"{""data"": { ""id"":""127267,Hyundai i10 Sportz 1.2 AT"" }},"
Nissan Terrano XV D Pre,127268,Kochi,Kerala,Südindien,Indien,2015,56066,Diesel,Manual,First,27496,1461,1085,5,806264,"{""data"": { ""id"":""127268,Nissan Terrano XV D Pre"" }},"
Honda Brio VX AT,127269,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,37300,Benzin,Automatic,Second,231,1198,868,5,752668,"{""data"": { ""id"":""127269,Honda Brio VX AT"" }},"
Audi A6 2.0 TDI Design Edition,127270,Delhi,DelhiStaat,Nordindien,Indien,2014,56000,Diesel,Automatic,Second,25942,1968,18774,5,3437107,"{""data"": { ""id"":""127270,Audi A6 2.0 TDI Design Edition"" }},"
Toyota Innova 2.0 G1,127271,Chennai,Tamil Nadu,Ostindien,Indien,2006,230000,Benzin,Manual,Third,1736,1998,132,8,524304,"{""data"": { ""id"":""127271,Toyota Innova 2.0 G1"" }},"
Toyota Innova 2.5 VX 7 STR BSIV,127272,Hyderabad,Telangana,Südindien,Indien,2012,104000,Diesel,Manual,First,1792,2494,102,7,1369017,"{""data"": { ""id"":""127272,Toyota Innova 2.5 VX 7 STR BSIV"" }},"
Maruti Swift VDI,127273,Jaipur,Rajastahn,Nordindien,Indien,2012,95100,Diesel,Manual,First,3206,1248,74,5,436920,"{""data"": { ""id"":""127273,Maruti Swift VDI"" }},"
Tata Zest Revotron 1.2T XE,127274,Pune,Maharashtra,Westindien,Indien,2017,70000,Benzin,Manual,First,24598,1193,887,5,524304,"{""data"": { ""id"":""127274,Tata Zest Revotron 1.2T XE"" }},"
Honda Amaze SX i-VTEC,127275,Kochi,Kerala,Südindien,Indien,2016,54944,Benzin,Manual,First,252,1198,867,5,561588,"{""data"": { ""id"":""127275,Honda Amaze SX i-VTEC"" }},"
Ford Figo Diesel ZXI,127276,Hyderabad,Telangana,Südindien,Indien,2012,70337,Diesel,Manual,First,28,1399,68,5,326234,"{""data"": { ""id"":""127276,Ford Figo Diesel ZXI"" }},"
Maruti Ritz VDi,127277,Jaipur,Rajastahn,Nordindien,Indien,2013,99638,Diesel,Manual,First,3248,1248,7394,5,362353,"{""data"": { ""id"":""127277,Maruti Ritz VDi"" }},"
Honda City i VTEC E,127278,Delhi,DelhiStaat,Nordindien,Indien,2009,52000,Benzin,Manual,First,2492,1497,1173,5,378664,"{""data"": { ""id"":""127278,Honda City i VTEC E"" }},"
BMW 5 Series 2003-2012 525d,127279,Delhi,DelhiStaat,Nordindien,Indien,2011,75000,Diesel,Automatic,Second,23422,1995,218,5,1619518,"{""data"": { ""id"":""127279,BMW 5 Series 2003-2012 525d"" }},"
Hyundai i10 Sportz 1.2,127280,Pune,Maharashtra,Westindien,Indien,2009,95980,Benzin,Manual,First,28504,1197,789,5,262152,"{""data"": { ""id"":""127280,Hyundai i10 Sportz 1.2"" }},"
Hyundai Grand i10 Sportz,127281,Bangalore,Karnataka,Südindien,Indien,2016,16000,Benzin,Manual,First,2646,1197,82,5,669945,"{""data"": { ""id"":""127281,Hyundai Grand i10 Sportz"" }},"
Honda Amaze SX i-VTEC,127282,Mumbai,Maharashtra,Westindien,Indien,2016,18949,Benzin,Manual,First,2492,1198,867,5,582560,"{""data"": { ""id"":""127282,Honda Amaze SX i-VTEC"" }},"
Toyota Fortuner 4x2 Manual,127283,Delhi,DelhiStaat,Nordindien,Indien,2014,107000,Diesel,Manual,First,182,2982,1685,7,1922450,"{""data"": { ""id"":""127283,Toyota Fortuner 4x2 Manual"" }},"
Audi A6 2011-2015 35 TDI Premium,127284,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,48367,Diesel,Automatic,First,24752,1968,17433,5,4611549,"{""data"": { ""id"":""127284,Audi A6 2011-2015 35 TDI Premium"" }},"
Ford Ecosport 1.5 DV5 MT Titanium Optional,127285,Delhi,DelhiStaat,Nordindien,Indien,2013,57000,Diesel,Manual,First,3178,1498,8984,5,640817,"{""data"": { ""id"":""127285,Ford Ecosport 1.5 DV5 MT Titanium Optional"" }},"
Mahindra XUV500 W8 2WD,127286,Delhi,DelhiStaat,Nordindien,Indien,2014,58000,Diesel,Manual,First,2114,2179,140,7,943748,"{""data"": { ""id"":""127286,Mahindra XUV500 W8 2WD"" }},"
Honda Amaze SX i-DTEC,127287,Kolkata,Westbengalen,Ostindien,Indien,2015,30000,Diesel,Manual,First,3612,1498,986,5,407792,"{""data"": { ""id"":""127287,Honda Amaze SX i-DTEC"" }},"
Volkswagen Polo Diesel Highline 1.2L,127288,Kolkata,Westbengalen,Ostindien,Indien,2013,34212,Diesel,Manual,First,30898,1199,739,5,325069,"{""data"": { ""id"":""127288,Volkswagen Polo Diesel Highline 1.2L"" }},"
Hyundai Verna Transform SX VGT CRDi,127289,Ahmedabad,Gujarat,Westindien,Indien,2010,70002,Diesel,Manual,First,2268,1493,110,5,401967,"{""data"": { ""id"":""127289,Hyundai Verna Transform SX VGT CRDi"" }},"
Maruti Wagon R VXI BS IV,127290,Bangalore,Karnataka,Südindien,Indien,2016,62000,Benzin,Manual,First,2646,998,671,5,518479,"{""data"": { ""id"":""127290,Maruti Wagon R VXI BS IV"" }},"
Volkswagen Polo Benzin Highline 1.6L,127291,Delhi,DelhiStaat,Nordindien,Indien,2010,62001,Benzin,Manual,First,21364,1598,1035,5,308757,"{""data"": { ""id"":""127291,Volkswagen Polo Benzin Highline 1.6L"" }},"
Hyundai i20 1.4 CRDi Sportz,127292,Pune,Maharashtra,Westindien,Indien,2011,78958,Diesel,Manual,Second,322,1396,90,5,442746,"{""data"": { ""id"":""127292,Hyundai i20 1.4 CRDi Sportz"" }},"
Hyundai i20 Asta 1.2,127293,Mumbai,Maharashtra,Westindien,Indien,2014,30180,Benzin,Manual,First,259,1197,8285,5,541781,"{""data"": { ""id"":""127293,Hyundai i20 Asta 1.2"" }},"
Datsun GO Plus T Benzin,127294,Pune,Maharashtra,Westindien,Indien,2017,32851,Benzin,Manual,First,27762,1198,67,7,460223,"{""data"": { ""id"":""127294,Datsun GO Plus T Benzin"" }},"
Audi A4 3.0 TDI Quattro Premium,127295,Kolkata,Westbengalen,Ostindien,Indien,2010,30000,Diesel,Automatic,First,20916,2967,2414,5,1141819,"{""data"": { ""id"":""127295,Audi A4 3.0 TDI Quattro Premium"" }},"
Hyundai i20 2015-2017 Asta,127296,Pune,Maharashtra,Westindien,Indien,2009,66000,Benzin,Manual,Second,238,1197,80,5,314583,"{""data"": { ""id"":""127296,Hyundai i20 2015-2017 Asta"" }},"
Maruti Omni 5 Str STD,127297,Coimbatore,Tamil Nadu,Ostindien,Indien,2010,93850,Benzin,Manual,First,196,796,35,5,280794,"{""data"": { ""id"":""127297,Maruti Omni 5 Str STD"" }},"
Toyota Etios Liva 1.2 G,127298,Ahmedabad,Gujarat,Westindien,Indien,2014,53000,Benzin,Manual,First,24794,1197,789,5,454397,"{""data"": { ""id"":""127298,Toyota Etios Liva 1.2 G"" }},"
Jaguar XF 3.0 Litre S Premium Luxury,127299,Hyderabad,Telangana,Südindien,Indien,2011,78000,Diesel,Automatic,Second,20636,2993,2709,5,2796290,"{""data"": { ""id"":""127299,Jaguar XF 3.0 Litre S Premium Luxury"" }},"
Mahindra XUV500 W8 2WD,127300,Delhi,DelhiStaat,Nordindien,Indien,2012,65000,Diesel,Manual,Second,224,2179,140,7,669945,"{""data"": { ""id"":""127300,Mahindra XUV500 W8 2WD"" }},"
Hyundai Verna 1.6 SX CRDI (O) AT,127301,Kolkata,Westbengalen,Ostindien,Indien,2014,40000,Diesel,Automatic,First,31248,1582,12632,5,611688,"{""data"": { ""id"":""127301,Hyundai Verna 1.6 SX CRDI (O) AT"" }},"
Toyota Innova Crysta 2.8 ZX AT,127302,Mumbai,Maharashtra,Westindien,Indien,2017,30000,Diesel,Automatic,First,15904,2755,1715,7,2242858,"{""data"": { ""id"":""127302,Toyota Innova Crysta 2.8 ZX AT"" }},"
Maruti Eeco 5 Seater AC,127303,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,38053,Benzin,Manual,First,2114,1196,73,5,455562,"{""data"": { ""id"":""127303,Maruti Eeco 5 Seater AC"" }},"
Tata Nano Twist XT,127304,Bangalore,Karnataka,Südindien,Indien,2014,25500,Benzin,Manual,First,3556,624,375,4,250501,"{""data"": { ""id"":""127304,Tata Nano Twist XT"" }},"
BMW 3 Series 320d Luxury Line,127305,Mumbai,Maharashtra,Westindien,Indien,2015,56087,Diesel,Automatic,First,31766,1995,190,5,2417626,"{""data"": { ""id"":""127305,BMW 3 Series 320d Luxury Line"" }},"
Honda Civic 2006-2010 1.8 V MT,127306,Delhi,DelhiStaat,Nordindien,Indien,2010,71088,Benzin,Manual,First,189,1799,130,5,390316,"{""data"": { ""id"":""127306,Honda Civic 2006-2010 1.8 V MT"" }},"
Toyota Innova 2.5 VX (Diesel) 7 Seater,127307,Ahmedabad,Gujarat,Westindien,Indien,2014,55000,Diesel,Manual,First,18186,2494,1006,7,1294449,"{""data"": { ""id"":""127307,Toyota Innova 2.5 VX (Diesel) 7 Seater"" }},"
Volvo V40 Cross Country D3,127308,Bangalore,Karnataka,Südindien,Indien,2014,32700,Diesel,Automatic,First,3262,1984,150,5,2330242,"{""data"": { ""id"":""127308,Volvo V40 Cross Country D3"" }},"
Nissan Micra XV CVT,127309,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,39882,Benzin,Automatic,First,2681,1198,7594,5,763154,"{""data"": { ""id"":""127309,Nissan Micra XV CVT"" }},"
BMW 5 Series 2010-2013 525i,127310,Mumbai,Maharashtra,Westindien,Indien,2009,128000,Benzin,Automatic,First,1512,2497,215,5,815585,"{""data"": { ""id"":""127310,BMW 5 Series 2010-2013 525i"" }},"
Maruti Vitara Brezza VDi,127311,Mumbai,Maharashtra,Westindien,Indien,2016,55000,Diesel,Manual,First,3402,1248,885,5,873841,"{""data"": { ""id"":""127311,Maruti Vitara Brezza VDi"" }},"
Mercedes-Benz B Class B200 CDI,127312,Pune,Maharashtra,Westindien,Indien,2014,53753,Diesel,Automatic,Second,21,2143,1073,5,1951578,"{""data"": { ""id"":""127312,Mercedes-Benz B Class B200 CDI"" }},"
Hyundai Verna CRDi 1.6 SX Option,127313,Kolkata,Westbengalen,Ostindien,Indien,2018,10250,Diesel,Manual,First,308,1582,1262,5,1275807,"{""data"": { ""id"":""127313,Hyundai Verna CRDi 1.6 SX Option"" }},"
Maruti Wagon R LXI BS IV,127314,Pune,Maharashtra,Westindien,Indien,2011,43874,Benzin,Manual,First,2646,998,671,5,285455,"{""data"": { ""id"":""127314,Maruti Wagon R LXI BS IV"" }},"
Tata Nano XTA,127315,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,32684,Benzin,Automatic,First,3066,624,3748,4,376334,"{""data"": { ""id"":""127315,Tata Nano XTA"" }},"
Mahindra Scorpio VLX,127316,Kolkata,Westbengalen,Ostindien,Indien,2014,42000,Diesel,Manual,First,1687,2179,120,8,902969,"{""data"": { ""id"":""127316,Mahindra Scorpio VLX"" }},"
Mercedes-Benz New C-Class 200 K AT,127317,Kolkata,Westbengalen,Ostindien,Indien,2009,28352,Benzin,Automatic,First,1638,1796,178,5,1089388,"{""data"": { ""id"":""127317,Mercedes-Benz New C-Class 200 K AT"" }},"
Maruti Wagon R LXI CNG,127318,Pune,Maharashtra,Westindien,Indien,2013,89900,CNG,Manual,First,3724,998,5816,5,378664,"{""data"": { ""id"":""127318,Maruti Wagon R LXI CNG"" }},"
