ID;Name;Ort;Bundesstaat;Region;Land;Jahr;Kilometerstand;Kraftstoff;Schaltung;Besitzer;KilometerPerLiter;Hubraum ;PS;Sitze;PreisEuro
127228;Mahindra Ssangyong Rexton RX7;Bangalore;Karnataka;Südindien;Indien;2013;72000;Diesel;Automatic;Second;15652;2696;184;7;1456401
127229;Audi A6 2.7 TDI;Kolkata;Westbengalen;Ostindien;Indien;2010;35000;Diesel;Automatic;First;1736;2698;1795;5;1339889
127230;Volkswagen Vento 1.6 Highline;Coimbatore;Tamil Nadu;Südindien;Indien;2014;55431;Benzin;Manual;Second;22526;1598;1035;5;813254
127231;Maruti Wagon R LXI BSIII;Jaipur;Rajastahn;Nordindien;Indien;2009;83816;Benzin;Manual;Second;196;1061;64;5;215547
127232;Maruti Vitara Brezza ZDi Plus;Kochi;Kerala;Südindien;Indien;2018;50075;Diesel;Manual;First;3402;1248;885;5;1005499
127233;Mahindra KUV 100 mFALCON G80 K6 5str AW;Delhi;DelhiStaat;Nordindien;Indien;2017;52000;Benzin;Manual;First;2541;1198;82;5;565084
127234;Mercedes-Benz M-Class ML 350 CDI;Pune;Maharashtra;Westindien;Indien;2013;85000;Diesel;Automatic;First;16436;2987;2548;5;3262339
127235;Volkswagen Polo Diesel Trendline 1.2L;Chennai;Tamil Nadu;Ostindien;Indien;2013;62000;Diesel;Manual;First;30898;1199;739;5;582560
127236;Maruti Alto LXi;Delhi;DelhiStaat;Nordindien;Indien;2008;90000;Benzin;Manual;Second;2758;796;463;5;145640
127237;Tata Nano LX SE;Kochi;Kerala;Südindien;Indien;2014;19698;Benzin;Manual;First;3556;624;375;4;178264
127238;Mahindra KUV 100 mFALCON D75 K8 Dual Tone;Coimbatore;Tamil Nadu;Südindien;Indien;2017;22033;Diesel;Manual;First;35448;1198;77;6;650137
127239;Hyundai i20 Magna Optional 1.2;Kochi;Kerala;Südindien;Indien;2014;35487;Benzin;Manual;First;259;1197;829;5;552267
127240;Hyundai Elantra 2.0 SX Option AT;Bangalore;Karnataka;Südindien;Indien;2014;46374;Benzin;Automatic;First;20468;1999;14992;5;1031132
127241;Toyota Corolla Altis G AT;Mumbai;Maharashtra;Westindien;Indien;2016;52001;Benzin;Automatic;First;19992;1798;13803;5;1177937
127242;Hyundai Elantra CRDi;Ahmedabad;Gujarat;Westindien;Indien;2008;58005;Diesel;Manual;Second;2086;1991;1122;5;495176
127243;Toyota Innova Crysta 2.7 GX MT;Bangalore;Karnataka;Südindien;Indien;2012;70704;Benzin;Manual;First;1575;2694;1637;7;1275807
127244;Hyundai Xcent 1.1 CRDi S;Jaipur;Rajastahn;Nordindien;Indien;2014;75000;Diesel;Manual;First;3416;112;71;5;448572
127245;Mahindra Thar CRDe AC;Jaipur;Rajastahn;Nordindien;Indien;2012;75800;Diesel;Manual;Second;2317;2498;105;6;640817
127246;Audi A4 2.0 TDI 177  Premium Plus;Kochi;Kerala;Südindien;Indien;2015;13648;Diesel;Automatic;First;23954;1968;17433;5;2496854
127247;Maruti Swift LDI;Delhi;DelhiStaat;Nordindien;Indien;2014;52000;Diesel;Manual;First;3206;1248;74;5;495176
127248;Maruti Swift Ldi BSIV;Kolkata;Westbengalen;Ostindien;Indien;2014;53000;Diesel;Manual;First;2492;1248;75;5;384490
127249;Maruti Swift VDI;Delhi;DelhiStaat;Nordindien;Indien;2013;65650;Diesel;Manual;First;3976;1248;74;5;448572
127250;Hyundai Grand i10 Sportz;Chennai;Tamil Nadu;Ostindien;Indien;2015;54000;Benzin;Manual;Third;2646;1197;82;5;419444
127251;Volkswagen Vento 2013-2015 1.6 Comfortline;Kolkata;Westbengalen;Ostindien;Indien;2015;39000;Benzin;Manual;First;21056;1598;1032;5;464883
127252;Renault KWID RXT;Kochi;Kerala;Südindien;Indien;2017;16542;Benzin;Manual;First;35238;799;533;5;384490
127253;Hyundai i10 Asta;Kolkata;Westbengalen;Ostindien;Indien;2010;32000;Benzin;Manual;First;28504;1197;789;5;241180
127254;Nissan X-Trail SLX AT;Hyderabad;Telangana;Südindien;Indien;2010;121812;Diesel;Automatic;First;18606;1995;1476;5;902969
127255;Maruti Zen Estilo VXI BSIII;Hyderabad;Telangana;Südindien;Indien;2010;39300;Benzin;Manual;First;2548;998;671;5;262152
127256;Toyota Innova Crysta 2.4 GX MT 8S;Mumbai;Maharashtra;Westindien;Indien;2017;22000;Diesel;Manual;First;19152;2393;1478;8;1922450
127257;Ford Figo Diesel Titanium;Bangalore;Karnataka;Südindien;Indien;2010;72000;Diesel;Manual;First;28;1399;68;5;320408
127258;Mercedes-Benz New C-Class C 200 CGI Avantgarde;Delhi;DelhiStaat;Nordindien;Indien;2015;58000;Benzin;Automatic;First;16436;1796;186;5;3110873
127259;Mercedes-Benz New C-Class 200 CDI Classic;Pune;Maharashtra;Westindien;Indien;2011;65000;Diesel;Manual;Second;2212;2148;170;5;1165121
127260;Tata Indica V2 eLS;Chennai;Tamil Nadu;Ostindien;Indien;2016;178000;Diesel;Manual;First;35;1396;69;5;291280
127261;Audi A4 2.0 TDI Multitronic;Jaipur;Rajastahn;Nordindien;Indien;2012;65664;Diesel;Automatic;First;2317;1968;140;5;1572913
127262;Honda City ZX CVT;Mumbai;Maharashtra;Westindien;Indien;2007;63000;Benzin;Automatic;Second;2296;1497;78;5;215547
127263;Maruti Ertiga SHVS VDI;Pune;Maharashtra;Westindien;Indien;2016;63000;Diesel;Manual;First;34328;1248;885;7;949574
127264;Hyundai Creta 1.4 E Plus Diesel;Mumbai;Maharashtra;Westindien;Indien;2018;13000;Diesel;Manual;First;3094;1396;887;5;1223377
127265;Porsche Cayenne 2009-2014 Turbo;Mumbai;Maharashtra;Westindien;Indien;2008;73000;Benzin;Automatic;First;119;4806;500;5;1689425
127266;Mahindra XUV500 W8 4WD;Mumbai;Maharashtra;Westindien;Indien;2015;55729;Diesel;Manual;First;2114;2179;140;7;1124342
127267;Hyundai i10 Sportz 1.2 AT;Kochi;Kerala;Südindien;Indien;2012;45178;Benzin;Automatic;First;2373;1197;789;5;405462
127268;Nissan Terrano XV D Pre;Kochi;Kerala;Südindien;Indien;2015;56066;Diesel;Manual;First;27496;1461;1085;5;806264
127269;Honda Brio VX AT;Coimbatore;Tamil Nadu;Südindien;Indien;2016;37300;Benzin;Automatic;Second;231;1198;868;5;752668
127270;Audi A6 2.0 TDI Design Edition;Delhi;DelhiStaat;Nordindien;Indien;2014;56000;Diesel;Automatic;Second;25942;1968;18774;5;3437107
127271;Toyota Innova 2.0 G1;Chennai;Tamil Nadu;Ostindien;Indien;2006;230000;Benzin;Manual;Third;1736;1998;132;8;524304
127272;Toyota Innova 2.5 VX 7 STR BSIV;Hyderabad;Telangana;Südindien;Indien;2012;104000;Diesel;Manual;First;1792;2494;102;7;1369017
127273;Maruti Swift VDI;Jaipur;Rajastahn;Nordindien;Indien;2012;95100;Diesel;Manual;First;3206;1248;74;5;436920
127274;Tata Zest Revotron 1.2T XE;Pune;Maharashtra;Westindien;Indien;2017;70000;Benzin;Manual;First;24598;1193;887;5;524304
127275;Honda Amaze SX i-VTEC;Kochi;Kerala;Südindien;Indien;2016;54944;Benzin;Manual;First;252;1198;867;5;561588
127276;Ford Figo Diesel ZXI;Hyderabad;Telangana;Südindien;Indien;2012;70337;Diesel;Manual;First;28;1399;68;5;326234
127277;Maruti Ritz VDi;Jaipur;Rajastahn;Nordindien;Indien;2013;99638;Diesel;Manual;First;3248;1248;7394;5;362353
127278;Honda City i VTEC E;Delhi;DelhiStaat;Nordindien;Indien;2009;52000;Benzin;Manual;First;2492;1497;1173;5;378664
127279;BMW 5 Series 2003-2012 525d;Delhi;DelhiStaat;Nordindien;Indien;2011;75000;Diesel;Automatic;Second;23422;1995;218;5;1619518
127280;Hyundai i10 Sportz 1.2;Pune;Maharashtra;Westindien;Indien;2009;95980;Benzin;Manual;First;28504;1197;789;5;262152
127281;Hyundai Grand i10 Sportz;Bangalore;Karnataka;Südindien;Indien;2016;16000;Benzin;Manual;First;2646;1197;82;5;669945
127282;Honda Amaze SX i-VTEC;Mumbai;Maharashtra;Westindien;Indien;2016;18949;Benzin;Manual;First;2492;1198;867;5;582560
127283;Toyota Fortuner 4x2 Manual;Delhi;DelhiStaat;Nordindien;Indien;2014;107000;Diesel;Manual;First;182;2982;1685;7;1922450
127284;Audi A6 2011-2015 35 TDI Premium;Coimbatore;Tamil Nadu;Südindien;Indien;2018;48367;Diesel;Automatic;First;24752;1968;17433;5;4611549
127285;Ford Ecosport 1.5 DV5 MT Titanium Optional;Delhi;DelhiStaat;Nordindien;Indien;2013;57000;Diesel;Manual;First;3178;1498;8984;5;640817
127286;Mahindra XUV500 W8 2WD;Delhi;DelhiStaat;Nordindien;Indien;2014;58000;Diesel;Manual;First;2114;2179;140;7;943748
127287;Honda Amaze SX i-DTEC;Kolkata;Westbengalen;Ostindien;Indien;2015;30000;Diesel;Manual;First;3612;1498;986;5;407792
127288;Volkswagen Polo Diesel Highline 1.2L;Kolkata;Westbengalen;Ostindien;Indien;2013;34212;Diesel;Manual;First;30898;1199;739;5;325069
127289;Hyundai Verna Transform SX VGT CRDi;Ahmedabad;Gujarat;Westindien;Indien;2010;70002;Diesel;Manual;First;2268;1493;110;5;401967
127290;Maruti Wagon R VXI BS IV;Bangalore;Karnataka;Südindien;Indien;2016;62000;Benzin;Manual;First;2646;998;671;5;518479
127291;Volkswagen Polo Benzin Highline 1.6L;Delhi;DelhiStaat;Nordindien;Indien;2010;62001;Benzin;Manual;First;21364;1598;1035;5;308757
127292;Hyundai i20 1.4 CRDi Sportz;Pune;Maharashtra;Westindien;Indien;2011;78958;Diesel;Manual;Second;322;1396;90;5;442746
127293;Hyundai i20 Asta 1.2;Mumbai;Maharashtra;Westindien;Indien;2014;30180;Benzin;Manual;First;259;1197;8285;5;541781
127294;Datsun GO Plus T Benzin;Pune;Maharashtra;Westindien;Indien;2017;32851;Benzin;Manual;First;27762;1198;67;7;460223
127295;Audi A4 3.0 TDI Quattro Premium;Kolkata;Westbengalen;Ostindien;Indien;2010;30000;Diesel;Automatic;First;20916;2967;2414;5;1141819
127296;Hyundai i20 2015-2017 Asta;Pune;Maharashtra;Westindien;Indien;2009;66000;Benzin;Manual;Second;238;1197;80;5;314583
127297;Maruti Omni 5 Str STD;Coimbatore;Tamil Nadu;Südindien;Indien;2010;93850;Benzin;Manual;First;196;796;35;5;280794
127298;Toyota Etios Liva 1.2 G;Ahmedabad;Gujarat;Westindien;Indien;2014;53000;Benzin;Manual;First;24794;1197;789;5;454397
127299;Jaguar XF 3.0 Litre S Premium Luxury;Hyderabad;Telangana;Südindien;Indien;2011;78000;Diesel;Automatic;Second;20636;2993;2709;5;2796290
127300;Mahindra XUV500 W8 2WD;Delhi;DelhiStaat;Nordindien;Indien;2012;65000;Diesel;Manual;Second;224;2179;140;7;669945
127301;Hyundai Verna 1.6 SX CRDI (O) AT;Kolkata;Westbengalen;Ostindien;Indien;2014;40000;Diesel;Automatic;First;31248;1582;12632;5;611688
127302;Toyota Innova Crysta 2.8 ZX AT;Mumbai;Maharashtra;Westindien;Indien;2017;30000;Diesel;Automatic;First;15904;2755;1715;7;2242858
127303;Maruti Eeco 5 Seater AC;Coimbatore;Tamil Nadu;Südindien;Indien;2017;38053;Benzin;Manual;First;2114;1196;73;5;455562
127304;Tata Nano Twist XT;Bangalore;Karnataka;Südindien;Indien;2014;25500;Benzin;Manual;First;3556;624;375;4;250501
127305;BMW 3 Series 320d Luxury Line;Mumbai;Maharashtra;Westindien;Indien;2015;56087;Diesel;Automatic;First;31766;1995;190;5;2417626
127306;Honda Civic 2006-2010 1.8 V MT;Delhi;DelhiStaat;Nordindien;Indien;2010;71088;Benzin;Manual;First;189;1799;130;5;390316
127307;Toyota Innova 2.5 VX (Diesel) 7 Seater;Ahmedabad;Gujarat;Westindien;Indien;2014;55000;Diesel;Manual;First;18186;2494;1006;7;1294449
127308;Volvo V40 Cross Country D3;Bangalore;Karnataka;Südindien;Indien;2014;32700;Diesel;Automatic;First;3262;1984;150;5;2330242
127309;Nissan Micra XV CVT;Coimbatore;Tamil Nadu;Südindien;Indien;2016;39882;Benzin;Automatic;First;2681;1198;7594;5;763154
127310;BMW 5 Series 2010-2013 525i;Mumbai;Maharashtra;Westindien;Indien;2009;128000;Benzin;Automatic;First;1512;2497;215;5;815585
127311;Maruti Vitara Brezza VDi;Mumbai;Maharashtra;Westindien;Indien;2016;55000;Diesel;Manual;First;3402;1248;885;5;873841
127312;Mercedes-Benz B Class B200 CDI;Pune;Maharashtra;Westindien;Indien;2014;53753;Diesel;Automatic;Second;21;2143;1073;5;1951578
127313;Hyundai Verna CRDi 1.6 SX Option;Kolkata;Westbengalen;Ostindien;Indien;2018;10250;Diesel;Manual;First;308;1582;1262;5;1275807
127314;Maruti Wagon R LXI BS IV;Pune;Maharashtra;Westindien;Indien;2011;43874;Benzin;Manual;First;2646;998;671;5;285455
127315;Tata Nano XTA;Coimbatore;Tamil Nadu;Südindien;Indien;2017;32684;Benzin;Automatic;First;3066;624;3748;4;376334
127316;Mahindra Scorpio VLX;Kolkata;Westbengalen;Ostindien;Indien;2014;42000;Diesel;Manual;First;1687;2179;120;8;902969
127317;Mercedes-Benz New C-Class 200 K AT;Kolkata;Westbengalen;Ostindien;Indien;2009;28352;Benzin;Automatic;First;1638;1796;178;5;1089388
127318;Maruti Wagon R LXI CNG;Pune;Maharashtra;Westindien;Indien;2013;89900;CNG;Manual;First;3724;998;5816;5;378664
127319;Honda CR-V 2.4 MT;Bangalore;Karnataka;Südindien;Indien;2007;47700;Benzin;Manual;Second;1512;2354;152;5;611688
127320;Volkswagen Vento 1.5 TDI Comfortline AT;Pune;Maharashtra;Westindien;Indien;2015;55000;Diesel;Automatic;First;29694;1498;1032;5;844713
127321;Maruti Ciaz VXi Plus;Kochi;Kerala;Südindien;Indien;2017;44285;Benzin;Manual;First;29022;1373;911;5;870345
127322;Mahindra XUV500 AT W10 FWD;Jaipur;Rajastahn;Nordindien;Indien;2016;54000;Diesel;Automatic;First;224;2179;140;7;1543785
127323;Maruti Ritz VXI ABS;Coimbatore;Tamil Nadu;Südindien;Indien;2016;30232;Benzin;Manual;First;2954;1197;858;5;676935
127324;Maruti Alto K10 VXI;Hyderabad;Telangana;Südindien;Indien;2014;88500;Benzin;Manual;First;33698;998;671;5;302931
127325;Mercedes-Benz SLC 43 AMG;Kolkata;Westbengalen;Ostindien;Indien;2017;13372;Benzin;Automatic;First;266;2996;36207;2;6291653
127326;Hyundai Verna VTVT 1.6 AT SX Plus;Kochi;Kerala;Südindien;Indien;2019;12645;Benzin;Automatic;First;238;1591;1213;5;1339889
127327;Maruti Alto LXi BSIII;Chennai;Tamil Nadu;Ostindien;Indien;2010;94385;Benzin;Manual;Second;2758;796;463;5;186419
127328;BMW 1 Series 118d Base;Coimbatore;Tamil Nadu;Südindien;Indien;2015;31821;Diesel;Automatic;First;28812;1995;143;5;2006338
127329;Honda Jazz 1.2 V CVT i VTEC;Mumbai;Maharashtra;Westindien;Indien;2015;12000;Benzin;Automatic;First;266;1199;887;5;699073
127330;Honda Civic 2006-2010 1.8 V MT;Delhi;DelhiStaat;Nordindien;Indien;2012;88578;Benzin;Manual;First;189;1799;130;5;460223
127331;Mercedes-Benz New C-Class C 220 CDI Avantgarde;Kochi;Kerala;Südindien;Indien;2014;44965;Diesel;Automatic;First;26978;2143;170;5;2091392
127332;Honda Amaze SX i-DTEC;Kolkata;Westbengalen;Ostindien;Indien;2014;45044;Diesel;Manual;First;3612;1498;986;5;431095
127333;Maruti Swift VVT VXI;Kochi;Kerala;Südindien;Indien;2016;34204;Benzin;Manual;First;308;1197;818;5;632661
127334;Toyota Fortuner 3.0 Diesel;Coimbatore;Tamil Nadu;Südindien;Indien;2012;91235;Diesel;Manual;First;161;2982;171;7;1571748
127335;Chevrolet Beat LT Option;Pune;Maharashtra;Westindien;Indien;2014;38800;Benzin;Manual;First;2604;1199;768;5;332059
127336;Skoda Rapid 1.5 TDI Elegance;Chennai;Tamil Nadu;Ostindien;Indien;2013;83000;Diesel;Manual;First;29596;1498;10352;5;553432
127337;Maruti Ciaz 1.4 Alpha;Kochi;Kerala;Südindien;Indien;2018;41283;Benzin;Manual;First;29022;1373;911;5;1153470
127338;Audi RS5 Coupe;Mumbai;Maharashtra;Westindien;Indien;2013;23000;Benzin;Automatic;First;1547;2894;444;4;4310947
127339;BMW 3 Series Luxury Line;Mumbai;Maharashtra;Westindien;Indien;2014;48000;Diesel;Automatic;First;30464;1995;190;5;3087570
127340;Audi A4 2.0 TDI 177  Premium Plus;Coimbatore;Tamil Nadu;Südindien;Indien;2015;48214;Diesel;Automatic;First;23954;1968;17433;5;2717062
127341;Maruti Swift VDI;Chennai;Tamil Nadu;Ostindien;Indien;2016;35000;Diesel;Manual;First;3206;1248;74;5;728201
127342;Mercedes-Benz S Class 2005 2013 S 500;Kolkata;Westbengalen;Ostindien;Indien;2010;35277;Benzin;Automatic;First;10934;5461;3629;5;3495363
127343;Skoda Rapid 1.5 TDI AT Elegance Plus Black Package;Coimbatore;Tamil Nadu;Südindien;Indien;2016;54620;Diesel;Automatic;First;30324;1498;10352;5;1148809
127344;Skoda Superb Elegance 2.0 TDI CR AT;Pune;Maharashtra;Westindien;Indien;2012;136997;Diesel;Automatic;First;2408;1968;1381;5;990353
127345;Hyundai EON Magna Plus;Kochi;Kerala;Südindien;Indien;2019;14322;Benzin;Manual;First;2954;814;552;5;492846
127346;Volkswagen Polo Diesel Trendline 1.2L;Jaipur;Rajastahn;Nordindien;Indien;2012;65634;Diesel;Manual;First;30898;1199;739;5;407792
127347;Datsun GO NXT;Kolkata;Westbengalen;Ostindien;Indien;2016;6000;Benzin;Manual;First;28882;1198;6706;5;291280
127348;Honda Brio S MT;Kolkata;Westbengalen;Ostindien;Indien;2013;33280;Benzin;Manual;First;2716;1198;868;5;278464
127349;Mercedes-Benz B Class B180;Delhi;DelhiStaat;Nordindien;Indien;2013;29000;Benzin;Automatic;First;2072;1595;1207;5;1310761
127350;Honda City i DTEC V;Kochi;Kerala;Südindien;Indien;2015;42831;Diesel;Manual;First;364;1498;986;5;828401
127351;Toyota Innova 2.5 G (Diesel) 7 Seater;Ahmedabad;Gujarat;Westindien;Indien;2016;90000;Diesel;Manual;First;18186;2494;1006;7;1269982
127352;Maruti Swift VXI Optional;Ahmedabad;Gujarat;Westindien;Indien;2017;24005;Benzin;Manual;First;2856;1197;818;5;722375
127353;Mahindra XUV500 W8 2WD;Mumbai;Maharashtra;Westindien;Indien;2012;32792;Diesel;Manual;First;2114;2179;140;7;920446
127354;Ford Ecosport 1.5 DV5 MT Ambiente;Kochi;Kerala;Südindien;Indien;2014;147898;Diesel;Manual;First;3178;1498;8984;5;514983
127355;Toyota Fortuner 4x2 Manual;Mumbai;Maharashtra;Westindien;Indien;2012;131765;Diesel;Manual;First;182;2982;1685;7;1572913
127356;Volkswagen Vento 1.5 Highline Plus AT 16 Alloy;Chennai;Tamil Nadu;Ostindien;Indien;2013;65000;Diesel;Automatic;First;301;1498;1085;5;728201
127357;Ford Figo Diesel Titanium;Jaipur;Rajastahn;Nordindien;Indien;2010;66123;Diesel;Manual;Second;28;1399;68;5;244675
127358;BMW X5 xDrive 30d;Mumbai;Maharashtra;Westindien;Indien;2015;41000;Diesel;Automatic;First;2142;2993;258;5;5243044
127359;Mercedes-Benz New C-Class C 220 CDI Style;Coimbatore;Tamil Nadu;Südindien;Indien;2017;23550;Diesel;Automatic;First;26978;2143;16762;5;3921797
127360;Honda Brio V MT;Bangalore;Karnataka;Südindien;Indien;2012;45000;Benzin;Manual;Second;2716;1198;868;5;425269
127361;Hyundai i10 Magna 1.2;Delhi;DelhiStaat;Nordindien;Indien;2013;60000;Benzin;Manual;First;28504;1197;789;5;320408
127362;Mercedes-Benz GLC 220;Bangalore;Karnataka;Südindien;Indien;2016;44414;Diesel;Automatic;First;2506;2143;170;5;4951764
127363;Hyundai Grand i10 1.2 Kappa Asta;Kolkata;Westbengalen;Ostindien;Indien;2019;1000;Benzin;Manual;First;2646;1197;8186;5;757329
127364;Audi A6 2011-2015 2.0 TDI Premium Plus;Mumbai;Maharashtra;Westindien;Indien;2012;62500;Diesel;Automatic;Second;24752;1968;17433;5;2213730
127365;Volkswagen Vento Benzin Highline AT;Mumbai;Maharashtra;Westindien;Indien;2013;21000;Benzin;Automatic;Second;2016;1598;1036;5;518479
127366;Mini Countryman Cooper D;Jaipur;Rajastahn;Nordindien;Indien;2017;8525;Diesel;Automatic;Second;2324;1998;112;5;2679778
127367;Hyundai i20 Asta 1.4 CRDi;Bangalore;Karnataka;Südindien;Indien;2014;29000;Diesel;Manual;First;31556;1396;8873;5;972876
127368;Audi A6 2011-2015 2.0 TDI Premium Plus;Mumbai;Maharashtra;Westindien;Indien;2014;40000;Diesel;Automatic;First;24752;1968;17433;5;2673953
127369;Chevrolet Beat Diesel LT;Jaipur;Rajastahn;Nordindien;Indien;2012;88000;Diesel;Manual;First;35616;936;576;5;174768
127370;Skoda Superb Elegance 1.8 TSI AT;Kochi;Kerala;Südindien;Indien;2012;53537;Benzin;Automatic;First;1918;1798;15775;5;802768
127371;Ford Fiesta 1.4 TDCi EXI Limited Edition;Chennai;Tamil Nadu;Ostindien;Indien;2006;216000;Diesel;Manual;Second;2492;1399;68;5;168943
127372;BMW 5 Series 520d Luxury Line;Hyderabad;Telangana;Südindien;Indien;2014;51000;Diesel;Automatic;First;31472;1995;190;5;3903155
127373;Chevrolet Optra Magnum 1.6 LS BS3;Jaipur;Rajastahn;Nordindien;Indien;2007;118500;Benzin;Manual;First;1806;1598;1025;5;145640
127374;Volkswagen Polo Diesel Highline 1.2L;Hyderabad;Telangana;Südindien;Indien;2012;63000;Diesel;Manual;First;30898;1199;739;5;489351
127375;Renault Lodgy 110PS RxZ 8 Seater;Mumbai;Maharashtra;Westindien;Indien;2015;25000;Diesel;Manual;First;27972;1461;1085;8;786457
127376;Mercedes-Benz E-Class E250 CDI Avantgrade;Bangalore;Karnataka;Südindien;Indien;2014;37382;Diesel;Automatic;First;182;2143;2011;5;3728387
127377;Maruti Baleno Alpha;Kochi;Kerala;Südindien;Indien;2017;24773;Benzin;Manual;First;2996;1197;831;5;873841
127378;Hyundai Verna 1.6 SX;Delhi;DelhiStaat;Nordindien;Indien;2012;62000;Diesel;Manual;First;31248;1582;12632;5;535956
127379;Hyundai i10 Magna 1.1;Kochi;Kerala;Südindien;Indien;2017;52340;Benzin;Manual;First;27734;1086;6805;5;470709
127380;Mahindra Scorpio 1.99 S10 4WD;Kochi;Kerala;Südindien;Indien;2016;56739;Diesel;Manual;First;2156;1997;120;7;1201240
127381;Land Rover Range Rover 2.2L Dynamic;Coimbatore;Tamil Nadu;Südindien;Indien;2018;36091;Diesel;Automatic;First;1778;2179;1877;5;6496714
127382;Ford Figo Diesel ZXI;Chennai;Tamil Nadu;Ostindien;Indien;2010;120000;Diesel;Manual;First;28;1399;68;5;302931
